date,category,quantity
2026-04-01,BOOGIE ALIANZA,64.0
2026-04-01,CRISTAL CERVEZA,17.0
2026-04-01,DULFINA AZUCAR,31.0
2026-04-01,HALLS BARRA ROJ,6.0
2026-04-01,HENO DE PRAVIA,7.0
2026-04-01,JAN TURA ORPR ],8.0
2026-04-01,KR PINA 400ML],69.0
2026-04-01,LOA AGUA 625M],102.0
2026-04-01,MIKES ARANDANO,28.0
2026-04-01,NOSOTRAS DISPEN,10.0
2026-04-01,OBSESION COSTA,16.0
2026-04-01,SCOTCH BRITE LI,4.0
2026-04-01,SUBLIME POT 96,24.0
2026-04-01,TRIDENT EVUP AZ,63.0
2026-04-01,VASO DESCARTABLE,28.0
2026-04-01,VORAZ CELESTE 3,9.0
2026-04-23,BB CHICHA MORAD,1.0
2026-04-23,BOMBONES GRAN P,62.0
2026-04-23,GLORIA AZUL 400,79.0
2026-04-23,GLORIA UHT ROJA,1.0
2026-04-23,NOSOTRAS NATURA,14.0
2026-04-23,PEZIDURE CHOCOC,14.0
2026-04-23,PEZIDURE TRICOL,10.0
2026-04-23,SUBLIME POTE 90,4.0
2026-04-23,TURBO MAX,91.0
2026-04-24,BB CHICHA MORAD,1.0
2026-04-24,BOMBONES GRAN P,62.0
2026-04-24,GLORIA AZUL 400,79.0
2026-04-24,GLORIA UHT ROJA,1.0
2026-04-24,NOSOTRAS NATURA,14.0
2026-04-24,PEZIDURE CHOCOC,14.0
2026-04-24,PEZIDURE TRICOL,10.0
2026-04-24,SUBLIME POTE 90,4.0
2026-04-24,TURBO MAX,91.0
2026-04-25,BB CHICHA MORAD,1.0
2026-04-25,BOMBONES GRAN P,62.0
2026-04-25,GLORIA AZUL 400,79.0
2026-04-25,GLORIA UHT ROJA,1.0
2026-04-25,NOSOTRAS NATURA,14.0
2026-04-25,PEZIDURE CHOCOC,14.0
2026-04-25,PEZIDURE TRICOL,10.0
2026-04-25,SUBLIME POTE 90,4.0
2026-04-25,TURBO MAX,91.0
2026-04-26,BB CHICHA MORAD,1.0
2026-04-26,BOMBONES GRAN P,62.0
2026-04-26,GLORIA AZUL 400,79.0
2026-04-26,GLORIA UHT ROJA,1.0
2026-04-26,NOSOTRAS NATURA,14.0
2026-04-26,PEZIDURE CHOCOC,14.0
2026-04-26,PEZIDURE TRICOL,10.0
2026-04-26,SUBLIME POTE 90,4.0
2026-04-26,TURBO MAX,91.0
2026-04-27,BB CHICHA MORAD,1.0
2026-04-27,BOMBONES GRAN P,62.0
2026-04-27,GLORIA AZUL 400,79.0
2026-04-27,GLORIA UHT ROJA,1.0
2026-04-27,NOSOTRAS NATURA,14.0
2026-04-27,PEZIDURE CHOCOC,14.0
2026-04-27,PEZIDURE TRICOL,10.0
2026-04-27,SUBLIME POTE 90,4.0
2026-04-27,TURBO MAX,91.0
2026-04-28,BB CHICHA MORAD,1.0
2026-04-28,BOMBONES GRAN P,62.0
2026-04-28,GLORIA AZUL 400,79.0
2026-04-28,GLORIA UHT ROJA,1.0
2026-04-28,NOSOTRAS NATURA,14.0
2026-04-28,PEZIDURE CHOCOC,14.0
2026-04-28,PEZIDURE TRICOL,10.0
2026-04-28,SUBLIME POTE 90,4.0
2026-04-28,TURBO MAX,91.0
